id,translatable_id,name,document_url,locale
48,49,CEPT/ERC/DEC/(98)25,https://www.ecodocdb.dk/download/84beb66f-c610/ERCDec9825_01-06-2012.pdf,cs
49,50,"CEPT/ERC/REC 12-02",https://www.ecodocdb.dk/download/37dcc204-ccf0/REC1202E.PDF,cs
50,51,"ITU-R Rec. F.497",https://www.itu.int/rec/R-REC-F.497/en,cs
51,52,"CEPT/ERC/REC 25-10",https://www.ecodocdb.dk/download/d3599aad-a5b6/Rec2510.pdf,cs
52,53,2005/928/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32005D0928&from=EN,cs
53,54,2008/673/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32008D0673&from=EN,cs
54,55,2009/381/ES,https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32009D0381&from=EN,cs
55,56,CEPT/ERC/DEC/(01)08,https://www.ecodocdb.dk/download/7f70af03-c25d/DEC0108.PDF,cs
56,57,"Čl. 12 Řádu",,cs
57,58,"Dodatek 15 Řádu",,cs
58,59,"Dodatek 17 Řádu",,cs
59,60,"Dodatek 25 Řádu",,cs
60,61,"Dodatek 26 Řádu",,cs
61,62,"Dodatek 27 Řádu",,cs
62,63,"ERC Report 25",https://www.ecodocdb.dk/download/2ca5fcbd-4090/ERCREP025.pdf,cs
63,64,"EU 1079/2012",https://eur-lex.europa.eu/legal-content/CS/TXT/PDF/?uri=CELEX%3A32012R1079&qid=1475234194906&from=EN,cs
64,65,"ITU-R Rec. F.382-7",https://www.itu.int/rec/R-REC-F.382/en,cs
65,66,"Kmitočtový plán Ženeva 75",https://www.itu.int/en/ITU-R/terrestrial/broadcast/plans/Pages/plans.aspx,cs
66,67,"Kmitočtový plán Ženeva 85",http://www.itu.int/pub/R-ACT-RRC.7-1985/en,cs
67,68,Ma02revCo07,,cs
68,69,"Kmitočtový plán Ženeva 1984",https://www.itu.int/en/ITU-R/terrestrial/broadcast/plans/Pages/plans.aspx,cs
