id,code,sorting,created_at,updated_at
279,IFF,,"2015-07-25 20:07:45","2015-08-06 14:11:45"
280,IFL,,"2015-07-25 20:07:45","2015-08-06 14:11:37"
281,IFIC,,"2015-07-25 20:07:45","2015-07-26 14:23:44"
282,IHO,,"2015-07-25 20:07:45","2015-08-06 14:11:30"
283,ILS,,"2015-07-25 20:07:45","2015-08-06 14:11:23"
284,ILS-GP,,"2015-07-25 20:07:45","2015-08-06 14:11:14"
285,IMO,,"2015-07-25 20:07:45","2015-07-26 14:22:13"
286,IMSO,,"2015-07-25 20:07:45","2015-08-06 14:11:05"
287,IMT,,"2015-07-25 20:07:45","2016-06-03 09:27:55"
288,IMT-Advanced,,"2015-07-25 20:07:45","2015-07-26 14:29:36"
289,IMT-2000,,"2015-07-25 20:07:45","2015-07-26 14:23:57"
290,INMARSAT,,"2015-07-25 20:07:45","2015-08-06 14:10:55"
291,INTELSAT,,"2015-07-25 20:07:45","2015-08-06 14:10:47"
292,Intersputnik,,"2015-07-25 20:07:45","2015-08-06 14:10:39"
293,IP,,"2015-07-25 20:07:45","2015-07-26 14:22:40"
294,IPR,,"2015-07-25 20:07:45","2015-07-25 23:35:08"
295,ISM,,"2015-07-25 20:07:45","2015-07-25 23:36:03"
296,ISO,,"2015-07-25 20:07:45","2015-07-25 23:36:16"
297,ISP,,"2015-07-25 20:07:45","2015-07-25 23:36:26"
298,ISPS,,"2015-07-25 20:07:45","2015-08-06 14:10:27"
299,ISS,,"2015-07-25 20:07:45","2015-07-25 23:37:44"
300,ITS,,"2015-07-25 20:07:45","2015-07-25 23:37:57"
301,ITSO,,"2015-07-25 20:07:45","2015-08-06 14:10:20"
302,ITU,,"2015-07-25 20:07:45","2015-07-25 23:40:45"
303,ITU-R,,"2015-07-25 20:07:45","2016-06-06 16:00:23"
304,IZS,,"2015-07-25 20:07:45","2015-08-06 14:10:02"
305,J3E,,"2015-07-25 20:07:45","2015-08-06 14:20:24"
306,JAXA,,"2015-07-25 20:07:45","2015-08-06 14:09:54"
307,JSVV,,"2015-07-25 20:07:45","2015-08-06 14:18:16"
308,JTG,,"2015-07-25 20:07:45","2015-07-25 23:38:26"
309,JTIDS,,"2015-07-25 20:07:45","2015-07-25 23:45:46"
310,"KBPS, kbit/s",,"2015-07-25 20:07:45","2015-08-14 20:39:05"
311,KSC,,"2015-07-25 20:07:45","2015-07-25 23:40:14"
312,KV,,"2015-07-25 20:07:45","2015-08-23 21:00:15"
313,LAN,,"2015-07-25 20:07:45","2015-07-25 23:38:38"
314,LBT,,"2015-07-25 20:07:45","2015-07-25 23:41:30"
315,LDC,,"2015-07-25 20:07:45","2015-07-25 23:41:41"
316,LEO,,"2015-07-25 20:07:45","2015-07-25 23:41:12"
317,LEOP,,"2015-07-25 20:07:45","2015-07-25 23:42:58"
318,LEST,,"2015-07-25 20:07:45","2015-07-25 23:44:57"
319,LF,,"2015-07-25 20:07:45","2015-07-25 23:47:33"
320,LIDAR,,"2015-07-25 20:07:45","2015-08-06 14:09:39"
321,LLZ,,"2015-07-25 20:07:45","2015-07-25 23:46:15"
322,LMS,,"2015-07-25 20:07:45","2015-07-25 23:45:24"
323,LMSS,,"2015-07-25 20:07:45","2015-08-06 14:09:33"
324,LOS,,"2015-07-25 20:07:45","2015-08-06 14:09:28"
325,LP-AMI,,"2015-07-25 20:07:45","2015-07-25 23:44:05"
326,LPD,,"2015-07-25 20:07:45","2015-07-25 23:40:33"
327,LPR,,"2015-07-25 20:07:45","2015-07-25 23:42:41"
328,LR,,"2015-07-25 20:07:45","2015-07-25 23:49:33"
329,LRIT,,"2015-07-25 20:07:45","2015-07-25 23:46:54"
330,LSDI,,"2015-07-25 20:07:45","2015-07-25 23:48:49"
331,LTE,,"2015-07-25 20:07:45","2015-07-25 23:42:27"
332,LT2,,"2015-07-25 20:07:45","2015-08-06 14:09:22"
333,MA,,"2015-07-25 20:07:45","2015-07-25 23:48:17"
334,MARS,,"2015-07-25 20:07:45","2015-07-25 23:47:14"
335,Mbit/s,,"2015-07-25 20:07:45","2015-08-06 14:09:13"
336,MB/s,,"2015-07-25 20:07:45","2015-08-06 14:09:08"
337,MCA,,"2015-07-25 20:07:45","2015-08-07 14:32:42"
338,MCV,,"2015-07-25 20:07:45","2015-08-07 14:33:20"
339,MediaFLO,,"2015-07-25 20:07:45","2015-08-14 20:24:26"
340,MEO,,"2015-07-25 20:07:45","2015-08-06 14:03:58"
341,MES,,"2015-07-25 20:07:45","2015-08-06 14:02:48"
342,MetAids,,"2015-07-25 20:07:45","2015-08-06 14:02:54"
343,MetSat,,"2015-07-25 20:07:45","2015-07-26 14:36:20"
344,MF,,"2015-07-25 20:07:45","2015-07-26 14:32:24"
345,MFN,,"2015-07-25 20:07:45","2015-07-26 14:34:29"
346,MHP,,"2015-07-25 20:07:45","2015-08-06 14:02:43"
347,MID,,"2015-07-25 20:07:45","2015-08-06 14:03:01"
348,MIDS,,"2015-07-25 20:07:45","2015-08-06 22:31:16"
349,MIFR,,"2015-07-25 20:07:45","2015-07-26 14:34:11"
350,ML,,"2015-07-25 20:07:45","2015-08-06 22:31:26"
351,MLM,,"2015-07-25 20:07:45","2015-07-26 14:34:41"
352,MLS,,"2015-07-25 20:07:45","2015-07-26 14:34:51"
353,MMDS,,"2015-07-25 20:07:45","2015-07-26 14:36:40"
354,MMS,,"2015-07-25 20:07:45","2015-07-26 14:34:59"
355,MMSI,,"2015-07-25 20:07:45","2015-08-06 14:03:25"
356,MMSS,,"2015-07-25 20:07:45","2015-07-26 14:32:12"
357,MO,,"2015-07-25 20:07:45","2015-08-06 14:03:31"
358,MOB,,"2015-07-25 20:07:45","2015-08-14 20:24:43"
