id,army_usage_id,plan_part_id,start,end,sorting,created_at,updated_at
415,1,13,10680000000,10700000000,,"2015-08-05 15:56:30","2018-06-12 16:54:50"
416,4,13,10700000000,10950000000,,"2015-08-05 15:56:30","2018-10-24 10:18:50"
417,1,13,11700000000,12500000000,,"2015-08-05 15:56:30","2018-06-13 16:31:30"
418,1,18,12500000000,12750000000,,"2015-08-05 15:56:30","2018-11-14 09:53:12"
419,1,18,12750000000,13250000000,,"2015-08-05 15:56:30","2018-11-14 10:41:58"
420,4,18,13250000000,13400000000,,"2015-08-05 15:56:30","2018-11-14 10:44:41"
421,4,18,13400000000,13650000000,,"2015-08-05 15:56:30","2018-09-19 12:33:49"
422,4,18,13750000000,14000000000,,"2015-08-05 15:56:30","2016-03-24 09:00:43"
423,1,18,14000000000,14250000000,,"2015-08-05 15:56:30","2019-02-01 14:07:29"
424,1,18,14250000000,14300000000,,"2015-08-05 15:56:30","2019-02-01 14:08:56"
425,1,18,14300000000,14400000000,,"2015-08-05 15:56:30","2019-02-01 14:10:00"
426,1,18,14400000000,14470000000,,"2015-08-05 15:56:30","2019-02-01 14:10:56"
427,1,18,14470000000,14500000000,,"2015-08-05 15:56:30","2019-02-01 14:12:12"
428,1,8,14500000000,14620000000,,"2015-08-05 15:56:30","2018-07-04 10:04:15"
429,3,8,14620000000,14800000000,,"2015-08-05 15:56:30","2018-07-02 09:54:41"
430,3,8,14800000000,15230000000,,"2015-08-05 15:56:30","2018-07-02 09:57:42"
431,1,8,15230000000,15350000000,,"2015-08-05 15:56:30","2018-07-02 10:02:43"
432,1,17,15350000000,15400000000,,"2015-08-05 15:56:30","2018-07-19 13:34:41"
433,4,17,15400000000,15430000000,,"2015-08-05 15:56:30","2018-07-04 10:42:44"
434,4,17,15430000000,15630000000,,"2015-08-05 15:56:30","2018-07-04 10:43:20"
435,4,17,15630000000,15700000000,,"2015-08-05 15:56:30","2018-07-04 10:44:20"
436,3,17,15700000000,16600000000,,"2015-08-05 15:56:30","2017-02-28 08:36:39"
437,3,17,16600000000,17100000000,,"2015-08-05 15:56:30","2018-07-04 10:23:17"
438,4,17,17100000000,17200000000,,"2015-08-05 15:56:30","2018-07-04 10:28:10"
439,4,17,17200000000,17300000000,,"2015-08-05 15:56:30","2016-03-24 09:15:18"
440,2,17,17300000000,17700000000,,"2015-08-05 15:56:30","2018-07-04 10:33:23"
441,1,17,17700000000,18100000000,,"2015-08-05 15:56:30","2017-06-09 09:59:31"
